order_id,customer_id,order_date,product_id,category,quantity,unit_price,region,payment_method,status
c55e5ea8-0733-4ff7-8947-a689b5fec975,,INVALID,,food,-1,-99.9,sapporo,debit,returned
7d7cb48e-5e45-41db-94d4-640c729d67d7,C874849,2026-02-20T11:06:09,P408966,books,59,74140.84,osaka,debit,cancelled
18e05320-f023-40fd-88cc-61db2977038c,C839238,2026-02-20T13:37:35,P551463,clothing,83,36616.03,sapporo,cash,returned
c1f7025d-b76d-4b7d-b2f5-a8879ea9c20d,C827614,2026-02-20T13:13:38,P322900,electronics,55,-99.9,nagoya,credit,completed
6670d9f9-5ee8-4ba9-9b7c-27f931f4710c,C560881,2026-02-20T01:52:45,P814582,home,67,88855.05,osaka,points,cancelled
af5b0d1f-4b46-490f-b9d6-3bc4f7f7c433,C820540,INVALID,P580155,food,36,9146.61,tokyo,points,returned
e68e965c-2984-40b7-bb6e-2ef8371c0b65,C954907,2026-02-20T00:28:54,,electronics,32,14473.36,osaka,debit,completed
f105629b-49c9-4f5d-9eea-126b67fdea31,C077781,2026-02-20T15:57:09,P887400,books,49,69535.07,tokyo,debit,returned
6c882f0d-222a-48b1-a774-a7967f417906,C973429,2026-02-20T07:25:28,P602590,clothing,40,53470.89,nagoya,credit,cancelled
c4d1be4f-6a63-46a3-a07f-b6f3bcf3272b,C618318,2026-02-20T07:37:37,P722949,home,35,59075.2,tokyo,credit,returned
b909f454-62da-482d-bdde-d2f953c27b01,C441972,2026-02-20T18:20:17,P940365,books,70,22106.63,fukuoka,cash,returned
3d4d2ec1-d023-475c-8723-ba182610881e,C533511,2026-02-20T13:49:37,P227873,home,54,95755.78,osaka,points,completed
380659a5-0158-472d-870d-d8c50cc76932,C722517,2026-02-20T15:32:20,P789879,electronics,50,55381.91,osaka,cash,cancelled
35f133e2-d87c-427c-a504-f763c03316e2,C396385,2026-02-20T22:50:47,P871084,electronics,91,7696.81,tokyo,points,cancelled
880cb499-31da-4a24-b234-94cf64fe7184,C661834,INVALID,P459580,clothing,16,4897.67,fukuoka,points,returned
aaca802d-8318-47c9-a8a2-0686498aa423,C162246,2026-02-20T18:44:48,P570558,food,16,72759.4,fukuoka,debit,returned
2e8a7b9a-cbda-4109-8fed-5548a07d8066,C640789,2026-02-20T17:02:01,P154895,books,54,55880.11,tokyo,debit,cancelled
5fb7e76a-d6a4-4e69-ac74-a6bcae2a5739,C004766,2026-02-20T12:53:38,P722180,books,91,36595.66,fukuoka,cash,returned
289f815d-863a-4ea0-b9a5-9ef9e7df9247,C572566,2026-02-20T10:03:44,P181505,food,84,1058.91,sapporo,points,returned
ae0d916a-7f8d-45c2-84c0-a589c118a59a,C807379,2026-02-20T03:46:48,P731565,food,23,43391.24,osaka,points,completed
812ba10b-30e7-4044-9ea3-248ff0568147,C594637,2026-02-20T08:22:47,P713498,books,99,69066.76,fukuoka,debit,returned
11354c7d-662b-414a-809a-f0bc8047d092,C427757,2026-02-20T04:50:04,P228482,books,-1,31147.17,sapporo,debit,completed
793d6e33-df44-4134-ae4b-661c7e7f2aea,C956580,2026-02-20T02:21:00,P516764,food,31,26207.49,sapporo,debit,completed
6b930e75-30d0-42f5-99e0-871f51170127,C720215,2026-02-20T01:35:03,P11627,food,3,23547.26,tokyo,cash,cancelled
2b6e4da3-6425-4870-a709-c7a9f29e5f7a,C217265,2026-02-20T02:52:57,P256805,food,18,45199.07,nagoya,debit,completed
bd869b55-9b47-479a-abc0-9f5a6699d59f,C892426,2026-02-20T11:28:04,P684905,home,7,89841.58,fukuoka,debit,returned
ffd6b991-ce11-4168-a747-ca6a56065d58,C249638,2026-02-20T17:23:38,P541271,food,5,38833.84,osaka,points,cancelled
56494f1d-464a-4fb8-9d4a-9076a263ff6b,C229629,2026-02-20T18:48:02,P635146,home,68,84140.96,osaka,cash,cancelled
1a460b2f-7d87-434e-8cd6-dcb091c5c14f,C199113,2026-02-20T09:09:42,P186699,home,87,90138.86,tokyo,debit,completed
873d0b74-437e-4137-95a2-24373f6a6b39,C177226,2026-02-20T06:01:24,P411620,electronics,71,81582.34,sapporo,points,completed
cdbecce0-1465-4514-b384-b2d017dbedef,C933869,2026-02-20T20:08:31,P439471,books,76,57701.44,fukuoka,debit,completed
2eaeb25b-c182-48e3-b6ab-64061962c699,C630240,2026-02-20T17:18:25,P584221,home,27,17599.53,fukuoka,credit,returned
d837a502-490c-4ea4-bb0d-1e63e1556a94,C077886,2026-02-20T17:15:03,P668259,electronics,8,65960.16,sapporo,cash,cancelled
8316abb9-55f9-4491-8b84-4c5881b668a6,C873398,2026-02-20T21:01:57,P963617,home,91,26441.71,tokyo,points,returned
45c6e151-f6a4-4436-aa9d-9c2c02fff4a0,C834665,2026-02-20T16:38:56,P354041,home,36,23429.2,nagoya,debit,returned
8637c461-e153-4aaa-ba3c-f843065a5056,C980338,2026-02-20T04:45:34,P213793,food,51,959.03,osaka,credit,completed
2f71e834-7b28-4f2a-84cd-0eea4d9aaf04,C226745,2026-02-20T10:22:30,P827870,books,43,73058.71,tokyo,points,returned
25443ff8-60ee-402a-9270-00dff228d30b,C474431,2026-02-20T10:23:00,P342809,home,31,28853.43,fukuoka,credit,cancelled
96c6ddc1-250c-47b4-9111-bbbc81f54cc6,C787788,2026-02-20T05:36:16,P937732,electronics,-1,4154.99,tokyo,credit,cancelled
37e3a2af-4d7e-4d8d-8b37-08f5b83fcac5,C857278,2026-02-20T12:34:09,P966260,books,8,74154.06,sapporo,debit,cancelled
879a966f-e6e7-456f-8e56-f8991ea19075,C561255,2026-02-20T05:25:00,P279739,electronics,79,78824.67,fukuoka,points,completed
